code,description,subject
ว1.1 ม.4/1,สืบค้นข้อมูล อธิบายและยกตัวอย่างเกี่ยวกับการเปลี่ยนแปลงขององค์ประกอบทางกายภาพและทางชีวภาพที่มีผลต่อการเปลี่ยนแปลงขนาดของประชากรสิ่งมีชีวิตในระบบนิเวศ,วิทยาศาสตร์
ว1.1 ม.4/2,สืบค้นข้อมูลอภิปรายสาเหตุ และยกตัวอย่างการเปลี่ยนแปลงแทนที่ของระบบนิเวศ,วิทยาศาสตร์
ว1.1 ม.4/3,ทดลองและอธิบายปัจจัยที่มีผลต่อการสังเคราะห์ด้วยแสงของพืช,วิทยาศาสตร์
ว1.2 ม.4/1,อธิบายโครงสร้างและสมบัติของเยื่อหุ้มเซลล์ที่สัมพันธ์กับการลำเลียงสาร และเปรียบเทียบการลำเลียงสารผ่านเยื่อหุ้มเซลล์แบบต่าง ๆ,วิทยาศาสตร์
ว1.2 ม.4/2,อธิบายการควบคุมดุลยภาพของน้ำและสารในเลือดโดยการทำงานของไต,วิทยาศาสตร์
ว1.2 ม.4/3,อธิบายการทำงานของระบบประสาทและต่อมไร้ท่อในการควบคุมและประสานงานของร่างกาย,วิทยาศาสตร์
ว1.2 ม.4/4,อธิบายการควบคุมดุลยภาพของอุณหภูมิภายในร่างกายโดยระบบหมุนเวียนเลือด ผิวหนังและกล้ามเนื้อโครงร่าง,วิทยาศาสตร์
ว1.2 ม.4/5,อธิบาย และเขียนแผนผังเกี่ยวกับการตอบสนองของร่างกายแบบไม่จำเพาะและแบบจำเพาะต่อสิ่งแปลกปลอมของร่างกาย,วิทยาศาสตร์
ว1.3 ม.4/1,อธิบายความสัมพันธ์ระหว่างยีน การสังเคราะห์โปรตีน และลักษณะทางพันธุกรรม,วิทยาศาสตร์
ว1.3 ม.4/2,อธิบายกระบวนการไมโอซิสและความสำคัญของไมโอซิสต่อการสืบพันธุ์แบบอาศัยเพศ,วิทยาศาสตร์
ว1.3 ม.4/3,ทดลองและอธิบายการถ่ายทอดลักษณะทางพันธุกรรมตามหลักของเมนเดล,วิทยาศาสตร์
ว1.3 ม.4/4,สืบค้นข้อมูล อธิบายและยกตัวอย่างการกลายพันธุ์และผลของการกลายพันธุ์,วิทยาศาสตร์
ว1.3 ม.4/5,อธิบายหลักฐานและทฤษฎีเกี่ยวกับวิวัฒนาการ,วิทยาศาสตร์
ว1.3 ม.4/6,สืบค้นข้อมูล อธิบายและยกตัวอย่างความหลากหลายของสิ่งมีชีวิต ซึ่งเป็นผลมาจากวิวัฒนาการ,วิทยาศาสตร์
ว2.1 ม.4/1,อธิบายความสัมพันธ์ระหว่างโครงสร้างและสมบัติของสารกับตารางธาตุ,วิทยาศาสตร์
ว2.1 ม.4/2,เขียนสูตรและเรียกชื่อสารประกอบไอออนิกและสารประกอบโคเวเลนต์,วิทยาศาสตร์
ว2.1 ม.4/3,อธิบายสมบัติของสารละลาย และคำนวณเกี่ยวกับความเข้มข้นของสารละลาย,วิทยาศาสตร์
ว2.1 ม.4/4,อธิบายปฏิกิริยาเคมีและเขียนสมการเคมีเชิงสัญลักษณ์,วิทยาศาสตร์
ว2.1 ม.4/5,คำนวณหาปริมาณสารที่เกี่ยวข้องในปฏิกิริยาเคมี,วิทยาศาสตร์
ว2.2 ม.4/1,อธิบายการเปลี่ยนแปลงพลังงานในปฏิกิริยาเคมี,วิทยาศาสตร์
ว2.2 ม.4/2,อธิบายอัตราการเกิดปฏิกิริยาเคมีและปัจจัยที่มีผลต่ออัตราการเกิดปฏิกิริยา,วิทยาศาสตร์
